"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 8 8 "middle" 8 NA 0.02 0 0.02 FALSE FALSE
"mip" 9 1 "begin" 1 NA 0.00999999999999979 0 0.02 FALSE FALSE
"mip" 9 1 "end" 1 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 9 1 "middle" 1 NA 0.0100000000000002 0 0.02 FALSE FALSE
"mip" 9 2 "begin" 2 NA 0.00999999999999979 0 0.02 FALSE FALSE
"mip" 9 2 "end" 2 NA 0 0 0 FALSE FALSE
"mip" 9 2 "middle" 2 NA 0 0.02 0.0100000000000002 FALSE FALSE
"mip" 9 3 "begin" 3 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 9 3 "end" 3 NA 0.02 0 0.0200000000000005 FALSE FALSE
"mip" 9 3 "middle" 3 NA 0.0100000000000002 0 0.00999999999999979 FALSE FALSE
"mip" 9 4 "begin" 4 NA 0.02 0 0.0100000000000007 FALSE FALSE
"mip" 9 4 "end" 4 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 9 4 "middle" 4 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 9 5 "begin" 5 NA 0.00999999999999979 0 0.0100000000000007 FALSE FALSE
"mip" 9 5 "end" 5 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 9 5 "middle" 5 NA 0.0100000000000002 0 0.0200000000000005 FALSE FALSE
"mip" 9 6 "begin" 6 NA 0.02 0 0.0200000000000005 FALSE FALSE
"mip" 9 6 "end" 6 NA 0.0100000000000002 0 0.00999999999999979 FALSE FALSE
"mip" 9 6 "middle" 6 NA 0.02 0 0.0200000000000005 FALSE FALSE
"mip" 9 7 "begin" 7 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 9 7 "end" 7 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 9 7 "middle" 7 NA 0.0100000000000002 0 0.0200000000000005 FALSE FALSE
"mip" 9 8 "begin" 8 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 9 8 "end" 8 NA 0 0.00999999999999995 0.0200000000000005 FALSE FALSE
"mip" 9 8 "middle" 8 NA 0.0100000000000002 0 0.00999999999999979 FALSE FALSE
"mip" 9 9 "begin" 9 NA 0.02 0 0.0199999999999996 FALSE FALSE
"mip" 9 9 "end" 9 NA 0.0300000000000002 0 0.0300000000000002 FALSE FALSE
"mip" 9 9 "middle" 9 NA 0 0.02 0.0199999999999996 FALSE FALSE
"mip" 10 1 "begin" 1 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 10 1 "end" 1 NA 0.00999999999999979 0 0.0200000000000005 FALSE FALSE
"mip" 10 1 "middle" 1 NA 0 0.02 0.0100000000000007 FALSE FALSE
"mip" 10 2 "begin" 2 NA 0.02 0 0.0200000000000005 FALSE FALSE
"mip" 10 2 "end" 2 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 10 2 "middle" 2 NA 0.02 0 0.0100000000000007 FALSE FALSE
"mip" 10 3 "begin" 3 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 10 3 "end" 3 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 10 3 "middle" 3 NA 0.02 0 0.0100000000000007 FALSE FALSE
"mip" 10 4 "begin" 4 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 10 4 "end" 4 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 10 4 "middle" 4 NA 0.0200000000000005 0 0.0199999999999996 FALSE FALSE
"mip" 10 5 "begin" 5 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 10 5 "end" 5 NA 0.0199999999999996 0 0.0100000000000007 FALSE FALSE
"mip" 10 5 "middle" 5 NA 0.0100000000000007 0 0.0199999999999996 FALSE FALSE
"mip" 10 6 "begin" 6 NA 0.0200000000000005 0 0.0100000000000007 FALSE FALSE
"mip" 10 6 "end" 6 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 10 6 "middle" 6 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 10 7 "begin" 7 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 10 7 "end" 7 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 10 7 "middle" 7 NA 0 0.02 0.0199999999999996 FALSE FALSE
"mip" 10 8 "begin" 8 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 10 8 "end" 8 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 10 8 "middle" 8 NA 0.0199999999999996 0 0.0100000000000007 FALSE FALSE
"mip" 10 9 "begin" 9 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 10 9 "end" 9 NA 0.0100000000000007 0 0.00999999999999979 FALSE FALSE
"mip" 10 9 "middle" 9 NA 0 0.01 0.0199999999999996 FALSE FALSE
"mip" 10 10 "begin" 10 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 10 10 "end" 10 NA 0.0100000000000007 0 0.0100000000000007 FALSE FALSE
"mip" 10 10 "middle" 10 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 11 1 "begin" 1 NA 0 0.02 0.0100000000000007 FALSE FALSE
"mip" 11 1 "end" 1 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 11 1 "middle" 1 NA 0.0100000000000007 0 0.00999999999999979 FALSE FALSE
"mip" 11 2 "begin" 2 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 11 2 "end" 2 NA 0.0100000000000007 0 0.0199999999999996 FALSE FALSE
"mip" 11 2 "middle" 2 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 11 3 "begin" 3 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 11 3 "end" 3 NA 0.0100000000000007 0 0.00999999999999979 FALSE FALSE
"mip" 11 3 "middle" 3 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 11 4 "begin" 4 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 11 4 "end" 4 NA 0.0100000000000007 0 0.0200000000000005 FALSE FALSE
"mip" 11 4 "middle" 4 NA 0 0.01 0.0200000000000005 FALSE FALSE
"mip" 11 5 "begin" 5 NA 0.00999999999999979 0 0.0200000000000005 FALSE FALSE
"mip" 11 5 "end" 5 NA 0.04 0 0.0299999999999994 FALSE FALSE
"mip" 11 5 "middle" 0 NA 0.00999999999999979 0 0.0100000000000007 FALSE FALSE
"mip" 11 6 "begin" 6 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 11 6 "end" 6 NA 0.0300000000000002 0 0.04 FALSE FALSE
"mip" 11 6 "middle" 6 NA 0.0200000000000005 0 0.00999999999999979 FALSE FALSE
"mip" 11 7 "begin" 7 NA 0.0300000000000002 0 0.0300000000000002 FALSE FALSE
"mip" 11 7 "end" 7 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 11 7 "middle" 5 NA 0.0200000000000005 0 0.0200000000000005 FALSE FALSE
"mip" 11 8 "begin" 8 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 11 8 "end" 8 NA 0.0200000000000005 0 0.00999999999999979 FALSE FALSE
"mip" 11 8 "middle" 8 NA 0.00999999999999979 0 0.0200000000000005 FALSE FALSE
"mip" 11 9 "begin" 9 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 11 9 "end" 9 NA 0.0300000000000002 0 0.0300000000000002 FALSE FALSE
"mip" 11 9 "middle" 0 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 11 10 "begin" 10 NA 0.00999999999999979 0 0.0100000000000007 FALSE FALSE
"mip" 11 10 "end" 10 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 11 10 "middle" 10 NA 0.0200000000000005 0 0.0100000000000007 FALSE FALSE
"mip" 12 1 "begin" 1 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 12 1 "end" 1 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 12 1 "middle" 1 NA 0.0300000000000002 0 0.0299999999999994 FALSE FALSE
"mip" 12 2 "begin" 2 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 12 2 "end" 2 NA 0.0300000000000002 0 0.0299999999999994 FALSE FALSE
"mip" 12 2 "middle" 2 NA 0.00999999999999979 0 0.0100000000000007 FALSE FALSE
"mip" 12 3 "begin" 3 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 12 3 "end" 3 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 12 3 "middle" 3 NA 0.0200000000000005 0 0.0200000000000005 FALSE FALSE
"mip" 12 4 "begin" 4 NA 0.0100000000000007 0 0.0199999999999996 FALSE FALSE
"mip" 12 4 "end" 4 NA 0.0199999999999996 0.02 0.0300000000000002 FALSE FALSE
"mip" 12 4 "middle" 4 NA 0 0.01 0.0200000000000005 FALSE FALSE
"mip" 12 5 "begin" 5 NA 0.0100000000000007 0 0.0199999999999996 FALSE FALSE
"mip" 12 5 "end" 5 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 12 5 "middle" 5 NA 0.00999999999999979 0 0.0100000000000007 FALSE FALSE
"mip" 12 6 "begin" 6 NA 0.0200000000000005 0 0.00999999999999979 FALSE FALSE
"mip" 12 6 "end" 6 NA 0.0299999999999994 0 0.0300000000000002 FALSE FALSE
"mip" 12 6 "middle" 6 NA 0 0.02 0.0199999999999996 FALSE FALSE
"mip" 12 7 "begin" 7 NA 0.0100000000000007 0 0.00999999999999979 FALSE FALSE
"mip" 12 7 "end" 7 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 12 7 "middle" 7 NA 0.00999999999999979 0 0.0100000000000007 FALSE FALSE
"mip" 12 8 "begin" 8 NA 0.0200000000000005 0 0.0199999999999996 FALSE FALSE
"mip" 12 8 "end" 8 NA 0.00999999999999979 0 0.0200000000000005 FALSE FALSE
"mip" 12 8 "middle" 8 NA 0.0200000000000005 0 0.00999999999999979 FALSE FALSE
"mip" 12 9 "begin" 9 NA 0.0199999999999996 0 0.0200000000000005 FALSE FALSE
"mip" 12 9 "end" 0 NA 0.0300000000000002 0 0.0300000000000002 FALSE FALSE
"mip" 12 9 "middle" 9 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 12 10 "begin" 10 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 12 10 "end" 10 NA 0.0200000000000005 0.02 0.04 FALSE FALSE
"mip" 12 10 "middle" 10 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 13 1 "begin" 1 NA 0.0200000000000005 0 0.00999999999999979 FALSE FALSE
"mip" 13 1 "end" 1 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 13 1 "middle" 1 NA 0.0200000000000005 0 0.0100000000000007 FALSE FALSE
"mip" 13 2 "begin" 2 NA 0.0399999999999991 0 0.0300000000000002 FALSE FALSE
"mip" 13 2 "end" 2 NA 0.0100000000000007 0 0.0199999999999996 FALSE FALSE
"mip" 13 2 "middle" 2 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 13 3 "begin" 3 NA 0.0200000000000005 0 0.0200000000000005 FALSE FALSE
"mip" 13 3 "end" 3 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 13 3 "middle" 3 NA 0.0300000000000002 0 0.0300000000000002 FALSE FALSE
"mip" 13 4 "begin" 4 NA 0.00999999999999979 0.01 0.04 FALSE FALSE
"mip" 13 4 "end" 4 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 13 4 "middle" 4 NA 0.0100000000000007 0 0.0199999999999996 FALSE FALSE
"mip" 13 5 "begin" 5 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 13 5 "end" 5 NA 0.00999999999999979 0 0.0300000000000011 FALSE FALSE
"mip" 13 5 "middle" 5 NA 0.0200000000000005 0 0.0199999999999996 FALSE FALSE
"mip" 13 6 "begin" 6 NA 0.0199999999999996 0 0.0200000000000014 FALSE FALSE
"mip" 13 6 "end" 6 NA 0.0200000000000005 0 0.00999999999999979 FALSE FALSE
"mip" 13 6 "middle" 6 NA 0.0300000000000002 0 0.0399999999999991 FALSE FALSE
"mip" 13 7 "begin" 7 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 13 7 "end" 7 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 13 7 "middle" 7 NA 0.0100000000000007 0 0.0199999999999996 FALSE FALSE
