"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 5 2 "begin" 2 NA 0.0199999999999996 0 0.0100000000000016 FALSE FALSE
"mip" 5 2 "end" 2 NA 0 0 0 FALSE FALSE
"mip" 5 2 "middle" 2 NA 0.00999999999999801 0 0.00999999999999801 FALSE FALSE
"mip" 6 2 "begin" 2 NA 0.0100000000000016 0 0.0100000000000016 FALSE FALSE
"mip" 6 2 "end" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 6 2 "middle" 2 NA 0.0100000000000016 0.02 0.0300000000000011 FALSE FALSE
"mip" 7 2 "begin" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 7 2 "end" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 7 2 "middle" 2 NA 0.0100000000000016 0 0.00999999999999801 FALSE FALSE
"mip" 8 2 "begin" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 8 2 "end" 2 NA 0.0199999999999996 0 0.0200000000000031 FALSE FALSE
"mip" 8 2 "middle" 2 NA 0.0100000000000016 0 0.00999999999999801 FALSE FALSE
"mip" 9 2 "begin" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 9 2 "end" 2 NA 0.0399999999999991 0 0.0300000000000011 FALSE FALSE
"mip" 9 2 "middle" 2 NA 0.0200000000000031 0 0.0199999999999996 FALSE FALSE
"mip" 10 2 "begin" 2 NA 0.0399999999999991 0 0.0299999999999976 FALSE FALSE
"mip" 10 2 "end" 2 NA 0.0199999999999996 0 0.0100000000000016 FALSE FALSE
"mip" 10 2 "middle" 2 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 11 2 "begin" 2 NA 0.00999999999999801 0 0.0199999999999996 FALSE FALSE
"mip" 11 2 "end" 2 NA 0.0199999999999996 0 0.00999999999999801 FALSE FALSE
"mip" 11 2 "middle" 2 NA 0.00999999999999801 0 0.00999999999999801 FALSE FALSE
"mip" 12 2 "begin" 2 NA 0.0100000000000016 0 0.00999999999999801 FALSE FALSE
"mip" 12 2 "end" 2 NA 0.0399999999999991 0 0.0299999999999976 FALSE FALSE
"mip" 12 2 "middle" 2 NA 0.0200000000000031 0.01 0.0299999999999976 FALSE FALSE
"mip" 13 2 "begin" 2 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 13 2 "end" 2 NA 0.0299999999999976 0 0.0299999999999976 FALSE FALSE
"mip" 13 2 "middle" 2 NA 0.0100000000000016 0.02 0.0299999999999976 FALSE FALSE
"mip" 14 2 "begin" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 14 2 "end" 2 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 14 2 "middle" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 15 2 "begin" 2 NA 0.0400000000000027 0 0.0300000000000011 FALSE FALSE
"mip" 15 2 "end" 2 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 15 2 "middle" 2 NA 0.0299999999999976 0 0.0299999999999976 FALSE FALSE
"mip" 16 2 "begin" 2 NA 0.0299999999999976 0 0.0299999999999976 FALSE FALSE
"mip" 16 2 "end" 2 NA 0.0399999999999991 0 0.0500000000000007 FALSE FALSE
"mip" 16 2 "middle" 2 NA 0.0500000000000007 0 0.0499999999999972 FALSE FALSE
"mip" 17 2 "begin" 2 NA 0.0299999999999976 0 0.0300000000000011 FALSE FALSE
"mip" 17 2 "end" 2 NA 0.0500000000000007 0 0.0500000000000007 FALSE FALSE
"mip" 17 2 "middle" 2 NA 0.0299999999999976 0 0.0299999999999976 FALSE FALSE
"mip" 18 2 "begin" 2 NA 0.0399999999999991 0 0.0399999999999991 FALSE FALSE
"mip" 18 2 "end" 2 NA 0.0300000000000011 0 0.0399999999999991 FALSE FALSE
"mip" 18 2 "middle" 2 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 19 2 "begin" 2 NA 0.0500000000000007 0 0.0399999999999991 FALSE FALSE
"mip" 19 2 "end" 2 NA 0.0300000000000011 0 0.0399999999999991 FALSE FALSE
"mip" 19 2 "middle" 2 NA 0.0399999999999991 0 0.0300000000000011 FALSE FALSE
"mip" 20 2 "begin" 2 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 20 2 "end" 2 NA 0.0299999999999976 0 0.0300000000000011 FALSE FALSE
"mip" 20 2 "middle" 2 NA 0.0300000000000011 0 0.0299999999999976 FALSE FALSE
"mip" 21 2 "begin" 2 NA 0.0399999999999991 0 0.0499999999999972 FALSE FALSE
"mip" 21 2 "end" 2 NA 0.0500000000000007 0 0.0399999999999991 FALSE FALSE
"mip" 21 2 "middle" 2 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 22 2 "begin" 2 NA 0.0400000000000027 0 0.0500000000000007 FALSE FALSE
"mip" 22 2 "end" 2 NA 0.0300000000000011 0.00999999999999995 0.0399999999999991 FALSE FALSE
"mip" 22 2 "middle" 2 NA 0.0299999999999976 0 0.0299999999999976 FALSE FALSE
"mip" 23 2 "begin" 2 NA 0.0499999999999972 0 0.0500000000000007 FALSE FALSE
"mip" 23 2 "end" 2 NA 0.0499999999999972 0 0.0499999999999972 FALSE FALSE
"mip" 23 2 "middle" 2 NA 0.0400000000000027 0 0.0399999999999991 FALSE FALSE
"mip" 24 2 "begin" 2 NA 0.0500000000000007 0 0.0399999999999991 FALSE FALSE
"mip" 24 2 "end" 2 NA 0.0500000000000007 0 0.0499999999999972 FALSE FALSE
"mip" 24 2 "middle" 2 NA 0.0400000000000027 0 0.0400000000000027 FALSE FALSE
"mip" 25 2 "begin" 2 NA 0.0500000000000007 0 0.0399999999999991 FALSE FALSE
"mip" 25 2 "end" 2 NA 0.0500000000000007 0 0.0399999999999991 FALSE FALSE
"mip" 25 2 "middle" 2 NA 0.0500000000000007 0 0.0399999999999991 FALSE FALSE
"mip" 26 2 "begin" 2 NA 0.0299999999999976 0.02 0.0399999999999991 FALSE FALSE
"mip" 26 2 "end" 2 NA 0.0500000000000007 0.02 0.0599999999999987 FALSE FALSE
"mip" 26 2 "middle" 2 NA 0.0500000000000007 0 0.0500000000000007 FALSE FALSE
"mip" 27 2 "begin" 2 NA 0.0500000000000007 0 0.0400000000000027 FALSE FALSE
"mip" 27 2 "end" 2 NA 0.0500000000000007 0 0.0399999999999991 FALSE FALSE
"mip" 27 2 "middle" 2 NA 0.0500000000000007 0 0.0399999999999991 FALSE FALSE
"mip" 28 2 "begin" 2 NA 0.0599999999999987 0 0.0599999999999987 FALSE FALSE
"mip" 28 2 "end" 2 NA 0.0399999999999991 0 0.0399999999999991 FALSE FALSE
"mip" 28 2 "middle" 2 NA 0.0699999999999967 0 0.0600000000000023 FALSE FALSE
"mip" 29 2 "begin" 2 NA 0.0400000000000027 0 0.0499999999999972 FALSE FALSE
"mip" 29 2 "end" 2 NA 0.0500000000000007 0 0.0500000000000007 FALSE FALSE
"mip" 29 2 "middle" 2 NA 0.0600000000000023 0 0.0700000000000003 FALSE FALSE
"mip" 30 2 "begin" 2 NA 0.0500000000000007 0 0.0500000000000007 FALSE FALSE
"mip" 30 2 "end" 2 NA 0.0499999999999972 0 0.0399999999999991 FALSE FALSE
"mip" 30 2 "middle" 2 NA 0.0500000000000007 0 0.0500000000000007 FALSE FALSE
"mip" 31 2 "begin" 2 NA 0.0600000000000023 0 0.0700000000000003 FALSE FALSE
"mip" 31 2 "end" 2 NA 0.0599999999999987 0 0.0600000000000023 FALSE FALSE
"mip" 31 2 "middle" 2 NA 0.0799999999999983 0 0.0800000000000018 FALSE FALSE
"mip" 32 2 "begin" 2 NA 0.0399999999999991 0.02 0.0700000000000003 FALSE FALSE
"mip" 32 2 "end" 2 NA 0.0599999999999987 0 0.0700000000000003 FALSE FALSE
"mip" 32 2 "middle" 2 NA 0.0600000000000023 0 0.0599999999999987 FALSE FALSE
"mip" 33 2 "begin" 2 NA 0.0599999999999987 0 0.0599999999999987 FALSE FALSE
"mip" 33 2 "end" 2 NA 0.0599999999999987 0 0.0700000000000003 FALSE FALSE
"mip" 33 2 "middle" 2 NA 0.0599999999999987 0 0.0700000000000003 FALSE FALSE
"mip" 34 2 "begin" 2 NA 0.0599999999999987 0 0.0700000000000003 FALSE FALSE
"mip" 34 2 "end" 2 NA 0.0599999999999987 0.01 0.0800000000000018 FALSE FALSE
"mip" 34 2 "middle" 2 NA 0.0600000000000023 0 0.0600000000000023 FALSE FALSE
"mip" 35 2 "begin" 2 NA 0.0600000000000023 0 0.0600000000000023 FALSE FALSE
"mip" 35 2 "end" 2 NA 0.0800000000000018 0 0.0800000000000018 FALSE FALSE
"mip" 35 2 "middle" 2 NA 0.0600000000000023 0 0.0600000000000023 FALSE FALSE
"mip" 36 2 "begin" 2 NA 0.0700000000000003 0 0.0799999999999983 FALSE FALSE
"mip" 36 2 "end" 2 NA 0.0799999999999983 0 0.0799999999999983 FALSE FALSE
"mip" 36 2 "middle" 2 NA 0.0700000000000003 0 0.0599999999999987 FALSE FALSE
"mip" 37 2 "begin" 2 NA 0.0600000000000023 0 0.0600000000000023 FALSE FALSE
"mip" 37 2 "end" 2 NA 0.0700000000000003 0.02 0.0800000000000054 FALSE FALSE
"mip" 37 2 "middle" 2 NA 0.0799999999999983 0 0.0700000000000003 FALSE FALSE
"mip" 38 2 "begin" 2 NA 0.0700000000000003 0 0.0799999999999983 FALSE FALSE
"mip" 38 2 "end" 2 NA 0.0799999999999983 0 0.0800000000000054 FALSE FALSE
"mip" 38 2 "middle" 2 NA 0.0600000000000023 0.01 0.0799999999999983 FALSE FALSE
"mip" 39 2 "begin" 2 NA 0.0599999999999952 0 0.0599999999999952 FALSE FALSE
"mip" 39 2 "end" 2 NA 0.0600000000000023 0 0.0600000000000023 FALSE FALSE
"mip" 39 2 "middle" 2 NA 0.0799999999999983 0 0.0799999999999983 FALSE FALSE
"mip" 40 2 "begin" 2 NA 0.0799999999999983 0 0.0800000000000054 FALSE FALSE
"mip" 40 2 "end" 2 NA 0.0800000000000054 0 0.0799999999999983 FALSE FALSE
"mip" 40 2 "middle" 2 NA 0.0799999999999983 0 0.0799999999999983 FALSE FALSE
"mip" 41 2 "begin" 2 NA 0.0800000000000054 0 0.0799999999999983 FALSE FALSE
"mip" 41 2 "end" 2 NA 0.0799999999999983 0 0.0799999999999983 FALSE FALSE
"mip" 41 2 "middle" 2 NA 0.0799999999999983 0 0.0799999999999983 FALSE FALSE
"mip" 42 2 "begin" 2 NA 0.0799999999999983 0 0.0700000000000003 FALSE FALSE
"mip" 42 2 "end" 2 NA 0.0900000000000034 0 0.0999999999999943 FALSE FALSE
"mip" 42 2 "middle" 2 NA 0.0799999999999983 0 0.0700000000000003 FALSE FALSE
"mip" 43 2 "begin" 2 NA 0.0799999999999983 0.02 0.0900000000000034 FALSE FALSE
"mip" 43 2 "end" 2 NA 0.0900000000000034 0 0.100000000000001 FALSE FALSE
"mip" 43 2 "middle" 2 NA 0.0799999999999983 0 0.0800000000000054 FALSE FALSE
"mip" 44 2 "begin" 2 NA 0.0700000000000003 0 0.0799999999999983 FALSE FALSE
"mip" 44 2 "end" 2 NA 0.0799999999999983 0 0.0799999999999983 FALSE FALSE
"mip" 44 2 "middle" 2 NA 0.0799999999999983 0 0.0799999999999983 FALSE FALSE
"mip" 45 2 "begin" 2 NA 0.109999999999999 0 0.100000000000001 FALSE FALSE
"mip" 45 2 "end" 2 NA 0.0700000000000003 0.02 0.100000000000001 FALSE FALSE
"mip" 45 2 "middle" 2 NA 0.0799999999999983 0 0.0800000000000054 FALSE FALSE
"mip" 46 2 "begin" 2 NA 0.0900000000000034 0 0.0899999999999963 FALSE FALSE
"mip" 46 2 "end" 2 NA 0.0900000000000034 0 0.0899999999999963 FALSE FALSE
"mip" 46 2 "middle" 2 NA 0.100000000000001 0 0.0899999999999963 FALSE FALSE
"mip" 47 2 "begin" 2 NA 0.109999999999999 0 0.100000000000001 FALSE FALSE
"mip" 47 2 "end" 2 NA 0.0799999999999983 0 0.0799999999999983 FALSE FALSE
"mip" 47 2 "middle" 2 NA 0.0900000000000034 0 0.100000000000001 FALSE FALSE
"mip" 48 2 "begin" 2 NA 0.100000000000001 0 0.100000000000001 FALSE FALSE
"mip" 48 2 "end" 2 NA 0.0899999999999963 0 0.0899999999999963 FALSE FALSE
"mip" 48 2 "middle" 2 NA 0.0899999999999963 0 0.0999999999999943 FALSE FALSE
"mip" 49 2 "begin" 2 NA 0.0899999999999963 0 0.100000000000001 FALSE FALSE
"mip" 49 2 "end" 2 NA 0.0900000000000034 0 0.0900000000000034 FALSE FALSE
"mip" 49 2 "middle" 2 NA 0.0999999999999943 0 0.0999999999999943 FALSE FALSE
"mip" 50 2 "begin" 2 NA 0.0900000000000034 0 0.0999999999999943 FALSE FALSE
"mip" 50 2 "end" 2 NA 0.109999999999999 0 0.109999999999999 FALSE FALSE
"mip" 50 2 "middle" 2 NA 0.0999999999999943 0 0.0900000000000034 FALSE FALSE
"mip" 4 3 "begin" 3 NA 0 0.02 0.00999999999999801 FALSE FALSE
"mip" 4 3 "end" 3 NA 0.019999999999996 0 0.0200000000000031 FALSE FALSE
"mip" 4 3 "middle" 3 NA 0 0.01 0.0200000000000031 FALSE FALSE
"mip" 5 3 "begin" 3 NA 0.00999999999999801 0 0.0100000000000051 FALSE FALSE
"mip" 5 3 "end" 3 NA 0.019999999999996 0 0.019999999999996 FALSE FALSE
"mip" 5 3 "middle" 3 NA 0.019999999999996 0 0.0200000000000031 FALSE FALSE
"mip" 6 3 "begin" 3 NA 0.0200000000000031 0 0.0200000000000031 FALSE FALSE
